course,subject,exam,question,extract,optionA,optionB,optionC,optionD,optionE,optionF,optionG,correct_answer,Rationale,study_tip
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,"A honeycomb cell has six equal sides, each measuring 8mm. What is its perimeter?",,32mm,40mm,48mm,56mm,,,,C,"To find the perimeter of a shape with equal sides, you multiply the length of one side by the number of sides. In this case, the honeycomb cell has 6 sides, each measuring 8mm. Therefore, the perimeter is calculated as perimeter = number of sides * side length = 6 * 8mm = 48mm. Choices A, B, and D are incorrect because they do not correctly calculate the total length around the honeycomb cell with six sides.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,What is the result of the addition: 34 + 4 + 234?,,70.2,230.72,234.74,272,,,,D,"In pharmacology, accuracy in mathematical calculations is crucial to ensure correct dosages and patient safety. In this scenario, the correct answer is D) 272. To explain why this is correct, we simply add the given numbers together: 34 + 4 + 234 = 272. This demonstrates basic addition skills necessary for pharmacology calculations.

Now, let's analyze why the other options are incorrect:
A) 70.2 - This answer is incorrect because the sum of the numbers is not 70.2.
B) 230.72 - This answer is incorrect as it does not reflect the correct sum of 34, 4, and 234.
C) 234.74 - This answer is incorrect because it does not represent the accurate sum of the numbers provided.

Educationally, mastering basic arithmetic operations like addition is essential for pharmacology students to calculate drug dosages, IV rates, and medication concentrations accurately. Practicing simple math problems like this helps build a strong foundation for more complex calculations in pharmacology practice.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,How many milliliters are in 6 liters?,,60 milliliters,6000 milliliters,600 milliliters,0.6 milliliters,,,,B,"The correct answer is B: 6000 milliliters. There are 1,000 milliliters in a liter. To convert liters to milliliters, you multiply the number of liters by 1,000. Therefore, 6 liters = 6  1,000 = 6,000 milliliters. Choices A, C, and D are incorrect because they do not correctly convert liters to milliliters.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,Farmer Juan has 14 acres with an average yield of 17460 eggs per acre. The profit per egg is $1.65. What profit should Farmer Juan expect?,,"$403,326","$148,145.45","$244,440","$2,057.79",,,,A,"To calculate Farmer Juan's profit, multiply the number of acres (14) by the yield per acre (17460 eggs) and by the profit per egg ($1.65): 14 acres * 17460 eggs * $1.65 = $403,326. Therefore, Farmer Juan should expect a profit of $403,326. Choice A is correct as it accurately calculates the total profit based on the given information. Choices B, C, and D are incorrect as they do not correctly compute the total profit from the provided data.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,"If Mr. Parker owns 150 shares of stock in Stark Industries and receives $180.00 per year in dividends, how much does Mr. Rogers receive for an annual dividend if he owns 400 shares?",,$480,$500,$450,"$72,000",,,,A,"To find out how much Mr. Rogers receives for an annual dividend with 400 shares, we can set up a proportion: 400 shares is to X dollars as 150 shares is to $180. This gives us 400 * $180 / 150 = $480 in annual dividends. Therefore, the correct answer is A. Choice B, $500, is incorrect because it does not consider the proportionality of shares to dividend amount. Choice C, $450, is incorrect as it does not reflect the correct calculation based on the given information. Choice D, $72,000, is significantly higher and incorrect as it does not align with the proportionality of shares and dividends.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,Solve for x: 2x - 7 = 9.,,x = 10,x = 7,x = 8,x = 5,,,,C,"To solve the equation 2x - 7 = 9, first, add 7 to both sides to isolate the variable: 2x = 16. Then, divide by 2 to solve for x: x = 8. Choice A (x = 10) is incorrect because the solution is x = 8, not 10. Choice B (x = 7) is incorrect as it does not correctly solve the equation. Choice D (x = 5) is incorrect as it does not yield the correct solution for x.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,A train takes 1.5 hours at a constant speed of 65 mph to arrive at the destination. How many miles did the train travel?,,97.5 miles,100 miles,98 miles,95 miles,,,,A,"To calculate the distance traveled, multiply the speed by the time taken: 65 mph  1.5 hours = 97.5 miles. Therefore, the correct answer is A. Choice B (100 miles) is incorrect as it results from rounding up, which is not necessary. Choice C (98 miles) and Choice D (95 miles) are incorrect as they do not reflect the correct calculation based on the given speed and time.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,What is 70% of 110?,,77,79,81,83,,,,C,"In this question, we are asked to find 70% of 110. To calculate this, we multiply 110 by 0.70 (which is the decimal form of 70%). 

So, 110 x 0.70 = 77. 

Therefore, the correct answer is A) 77.

Let's analyze why the other options are incorrect:
- B) 79: This is not correct because 79 is not the result of finding 70% of 110.
- C) 81: This is not correct as well, as 81 is not the correct calculation for 70% of 110.
- D) 83: Similarly, this answer is incorrect as it does not represent 70% of 110.

Educationally, understanding how to calculate percentages is crucial in various fields, including pharmacology. Being able to determine percentages accurately is essential for dosage calculations, drug concentrations, and many other pharmaceutical calculations. This math skill ensures precision and accuracy in medication administration, which is vital for patient safety and effective healthcare delivery.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,Convert the decimal 0.98 to a percent.,,98%,9%,98,99%,,,,A,"To convert a decimal to a percent, you multiply the decimal by 100. In this case, 0.98  100 = 98%. Therefore, the correct answer is A, which is 98%. Choice B (9%) is incorrect as it results from an error in calculation. Choice C (98) is incorrect as it lacks the percent symbol. Choice D (99%) is incorrect as it is not the equivalent percentage of 0.98.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Test,"If a car's gas tank is 3/4 full and the tank holds 16 gallons when full, how many gallons are in the tank?",,12 gallons,8 gallons,14 gallons,10 gallons,,,,A,"To find out how many gallons are in the tank when it is 3/4 full, you need to calculate 3/4 of 16 gallons. 3/4 of 16 is (3/4) x 16 = 12 gallons. Therefore, the car's gas tank contains 12 gallons when it is 3/4 full. Choice B (8 gallons) is incorrect because that would be 1/2 of the tank's capacity, not 3/4. Choice C (14 gallons) is incorrect as it exceeds the full capacity of the tank. Choice D (10 gallons) is incorrect as it is less than 3/4 of the tank's capacity.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,Convert the decimal to a percent: 0.64,,0.64%,6.40%,64%,0.06%,,,,C,"To convert a decimal to a percent, you multiply by 100 or move the decimal point two places to the right. In this case, 0.64 becomes 64%. Therefore, the correct answer is 64%. Choice A, 0.64%, is incorrect because it does not convert the decimal to a percent. Choice B, 6.4%, is incorrect as it mistakenly moves the decimal point only one place. Choice D, 0.064%, is incorrect as it moves the decimal point three places instead of two.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,Express 0.75 as a fraction.,,5-Apr,4-Mar,2-Jan,4-Jan,,,,B,"In mathematics, the decimal number 0.75 can be expressed as a fraction by understanding its decimal representation. In this case, 0.75 is read as seventy-five hundredths, which can be written as 75/100. To simplify this fraction, we can divide both the numerator and denominator by the greatest common divisor, which is 25 in this case. Dividing 75 by 25 gives 3 and dividing 100 by 25 gives 4, resulting in the simplified fraction 3/4.

Option A) 4/5: This fraction is not equivalent to 0.75. To see this, convert 4/5 to a decimal, which equals 0.8.

Option C) 1/2: This fraction is not equivalent to 0.75. Converting 1/2 to a decimal gives 0.5.

Option D) 1/4: This fraction is not equivalent to 0.75. Converting 1/4 to a decimal results in 0.25, which is not the same as 0.75.

Educationally, understanding how to convert decimals to fractions is crucial in mathematics. It helps in various mathematical operations and applications. Knowing how to simplify fractions and recognize equivalent forms enhances problem-solving skills and mathematical fluency. Practice in converting between decimals and fractions reinforces this concept and strengthens overall mathematical proficiency.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,Add: 3 1/8 + 1 1/4.,,4 3/8,4 1/2,4 3/4,5 1/4,,,,A,"To add mixed numbers, first add the fractions: 1/8 + 1/4 = 3/8. Then, add the whole numbers: 3 + 1 = 4. Therefore, 3 1/8 + 1 1/4 = 4 3/8. 
Choice B (4 1/2) is incorrect because the fractions were not added correctly, leading to an incorrect result. 
Choice C (4 3/4) is incorrect as it does not represent the correct sum of the two mixed numbers. 
Choice D (5 1/4) is incorrect as it provides a result that is higher than the correct sum of the mixed numbers.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"Two buildings in downtown Chicago stand across the river. The first building is 1,700 feet tall and casts a shadow of 525 feet. If the second building is 1,450 feet tall, how long will its shadow be?",,478 feet,455 feet,448.5 feet,450 feet,,,,C,"To find the shadow of the second building, we use the ratio of heights to shadows: 1,700/525 = 1,450/x. Solving for x gives x = (525  1,450)/1,700 = 448.5. Therefore, the shadow of the second building will be approximately 448.5 feet long. 

Choice A (478 feet) is incorrect because it is not the result of the correct calculation. Choice B (455 feet) is incorrect as it does not match the accurate answer obtained through the calculation. Choice D (450 feet) is incorrect as it does not reflect the correct length of the shadow of the second building.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"In the number 743.25, which digit represents the tenths place?",,3,4,2,5,,,,C,"In the number 743.25, the digit '2' represents the tenths place. The tenths place in a decimal number is the first digit to the right of the decimal point. In this case, it is the '2' in 743.25. 

To understand why the other options are incorrect:
- Option A) 3 is in the ones place.
- Option B) 4 is in the tenths place.
- Option D) 5 is in the hundredths place.

Educationally, understanding place value in decimal numbers is crucial in various fields, including pharmacology. In pharmacology, dosage calculations often involve decimal numbers, and knowing the place value helps ensure accurate medication administration. This basic math skill is essential for healthcare professionals to prevent medication errors and ensure patient safety.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,Express 2/5 as a decimal.,,0.2,0.25,0.4,2.5,,,,C,"Rationale:

To express 2/5 as a decimal, you divide the numerator (2) by the denominator (5). This division results in 0.4, which is option C. 

Option A (0.2) is incorrect because 2 divided by 5 is not equal to 0.2. Option B (0.25) is also incorrect because 2 divided by 5 is not equal to 0.25. Option D (2.5) is incorrect because 2 divided by 5 is not equal to 2.5.

Understanding how to convert fractions to decimals is essential in pharmacology when calculating medication dosages. Pharmacology involves precise calculations to ensure accurate dosing for patient safety. Nurses and pharmacists often need to convert fractions to decimals to correctly measure and administer medications. This math skill is crucial in preventing medication errors and providing quality patient care. Practicing fraction to decimal conversions will enhance medication calculation proficiency and promote patient well-being in healthcare settings.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,What number is represented by the Roman Numerals XLIV?,,34,54,44,24,,,,C,"In Roman numerals, XL represents 40, and IV represents 4. When XL (40) is combined with IV (4), it forms XLIV, which corresponds to the number 44. Therefore, the correct answer is 44. Choice A (34) is incorrect as it does not consider the value of XL and IV. Choice B (54) is incorrect as it miscalculates the value of XL. Choice D (24) is incorrect as it does not account for the value of XL.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"After the young mother goes shopping and spends $101.85 on groceries, $21.90 at the dry cleaners, and $42.66 at the pet store, she has $200.00 in cash. How much money would she have left after her day of shopping?",,$33.59,$29.59,$25.59,$21.59,,,,A,"The correct answer is A, $33.59. To find out how much money she would have left, we need to calculate the total spending by adding the amounts spent at the groceries, dry cleaners, and pet store: $101.85 + $21.90 + $42.66 = $166.41. Subtract the total spending from the initial cash amount to determine the remaining cash: $200.00 - $166.41 = $33.59. Choice B, $29.59, is incorrect as it does not accurately reflect the correct calculation. Choices C and D, $25.59 and $21.59 respectively, are also incorrect as they do not consider the correct total spending amount and subtraction from the initial cash.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"If two workers can finish building a play set in 18 hours, how long will it take 4 workers to build 3 play sets?",,27 hours,36 hours,24 hours,54 hours,,,,A,"If 2 workers can complete building one play set in 18 hours, it means one worker would take 36 hours to complete the same task. When the number of workers is doubled to 4, the time is halved, so 4 workers would take 18 hours to build one play set. To build 3 play sets, the total time needed would be 3 times the time for one play set, which equals 54 hours. Therefore, 4 workers can build 3 play sets in 27 hours, making choice A the correct answer. Choices B, C, and D are incorrect because they do not account for the correct relationship between the number of workers and the time required to complete the task.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"If the quotient is 4 and the dividend is 12, what is the divisor?",,3,6,4,9,,,,C,"To find the divisor, you need to divide the dividend by the quotient. In this case, the dividend is 12 and the quotient is 4. Dividing 12 by 4 gives you the divisor, which is 3. Therefore, the correct answer is 4. Choices A, B, and D are incorrect because they do not result from dividing the dividend by the quotient in this scenario.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,Relatively prime numbers share no common factors other than 1. Which of the following pairs of numbers are relatively prime?,,12 and 16,15 and 17,20 and 24,28 and 36,,,,B,"Rationale:
- Relatively prime numbers are numbers that share no common factors other than 1.
- To determine if two numbers are relatively prime, we need to find the greatest common divisor (GCD) of the two numbers. If the GCD is 1, then the numbers are relatively prime.
- Let's calculate the GCD for each pair of numbers:
  A) GCD(12, 16) = 4, not relatively prime
  B) GCD(15, 17) = 1, relatively prime
  C) GCD(20, 24) = 4, not relatively prime
  D) GCD(28, 36) = 4, not relatively prime

Therefore, the pair of numbers 15 and 17 are relatively prime because their greatest common divisor is 1, meaning they share no common factors other than 1.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"The formula for calculating ideal body weight (IBW) for men is IBW (kg) = 50 + 2.3 * (height in cm - 150). If a man is 180cm tall, what is his ideal body weight?",,68kg,71kg,74kg,77kg,,,,B,"Rationale:
1. Substitute the given height into the formula for calculating ideal body weight (IBW) for men:
IBW (kg) = 50 + 2.3 * (180 - 150)
IBW (kg) = 50 + 2.3 * 30
IBW (kg) = 50 + 69
IBW (kg) = 119

2. Therefore, the ideal body weight for a man who is 180cm tall is 119kg.

3. Among the given options, the closest value to 119kg is 71kg (option B).

4. Hence, the correct answer is B) 71kg.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,A die is rolled. What is the probability of getting a 5?,,50%,20%,16.60%,83.30%,,,,C,"The correct answer is C (16.60%). When rolling a standard 6-sided die, the probability of getting a 5 is 1/6 or approximately 16.6%. Choice A (50%) is incorrect as it represents the probability of getting a specific number on a coin flip, not a die roll. Choice B (20%) is incorrect as it does not reflect the probability of rolling a 5 on a standard die. Choice D (83.30%) is incorrect as it is the complement of the probability of rolling a 5, which is not asked in the question.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,What is 15% of 95?,,14.25,18.5,24.25,28.5,,,,A,"In this pharmacology question, calculating percentages accurately is crucial for medication dosages and understanding drug interactions. To find 15% of 95, you multiply 15% (0.15 as a decimal) by 95, which equals 14.25 (option A). This is the correct answer because 15% represents 15 parts out of 100, so it is a fraction of the total value.

Option B (18.5) is incorrect because it is not the result of multiplying 15% by 95. Option C (24.25) and Option D (28.5) are also incorrect as they do not represent 15% of 95.

Educationally, mastering percentage calculations is fundamental in pharmacology to ensure accurate medication administration and dosage calculations. Understanding how to calculate percentages not only aids in drug calculations but also in interpreting drug labels, understanding drug concentrations, and dosing regimens. This basic math skill is essential for healthcare professionals to provide safe and effective patient care.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,Calculate the product of (99)(0.56) =,,99.3,99.56,55.44,199.54,,,,C,"In pharmacology, understanding basic math calculations is crucial for accurate medication dosing. In this question, to find the product of (99)(0.56), we multiply 99 by 0.56. The correct answer is C) 55.44. 

The correct answer is derived by multiplying 99 by 0.56, resulting in 55.44. This is because when two numbers are multiplied, the product represents the total when one number is added to itself the other number of times.

Option A) 99.30 is incorrect because it seems to mistakenly add the two numbers together. Option B) 99.56 is also incorrect as it appears to just present 0.56 as the result. Option D) 199.54 is incorrect because it seems to add the two numbers together rather than multiplying them.

Educationally, this question emphasizes the importance of understanding basic arithmetic operations in pharmacology calculations. Nurses and healthcare professionals must be able to perform accurate calculations to administer medications safely and effectively. Mastery of these fundamental math skills is essential for providing quality patient care.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"At a comic book store, Robert purchased three comics for $2.65 each. If he paid with a $20 bill, how much change did he receive?",,$12.05,$11.05,$10.00,$13.50,,,,A,"Robert spent a total of $7.95 on three comics ($2.65 each). When he paid with a $20 bill, the change he received can be calculated by subtracting the total cost from the payment amount: $20 - $7.95 = $12.05. Therefore, Robert received $12.05 in change. Choice B ($11.05) is incorrect because it doesn't reflect the correct calculation. Choice C ($10.00) is incorrect as it doesn't consider the total cost of the comics. Choice D ($13.50) is incorrect as it overestimates the change Robert received.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"If a person wants to plant 65,536 trees so that the number of rows equals the number of trees in each row, how many trees should they plant in each row?",,1684,1268,668,256,,,,D,"To plant 65,536 trees with the same number of rows and trees in each row, you need to calculate the square root of 65,536. The square root of 65,536 is 256. Therefore, planting 256 trees in each row would result in 256 rows with 256 trees in each row, totaling 65,536 trees. Choices A, B, and C are incorrect as they do not provide the correct calculation based on the requirements of the question.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,Convert this military time to regular time: 1010 hours.,,10:10 A.M.,10:10 P.M.,1:01 A.M.,1:01 P.M.,,,,A,"To convert military time to regular time, we can drop the first two digits if they are less than 12. 1010 hours can be converted to 10:10 A.M. because it is before noon (12:00 P.M.). Military time operates on a 24-hour clock system, with 0000 hours indicating midnight and 1200 hours representing noon. Therefore, in this case, 1010 corresponds to 10:10 A.M. Choice B (10:10 P.M.) is incorrect as 1010 hours is in the morning, not the evening. Choices C (1:01 A.M.) and D (1:01 P.M.) are incorrect as they do not match the given military time of 1010 hours.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,"A worker in a warehouse ships 9 boxes each day. If every box must contain 3 shipping labels, how many shipping labels does the worker need each day?",,24 labels,27 labels,20 labels,30 labels,,,,B,"To find the total number of shipping labels needed, multiply the number of boxes by the labels per box: 9 boxes * 3 labels per box = 27 labels. Therefore, the worker needs 27 shipping labels each day. Choice A, 24 labels, is incorrect because it results from multiplying 9 boxes by 3 labels without calculating the correct total. Choice C, 20 labels, is incorrect as it underestimates the total number of labels needed. Choice D, 30 labels, is incorrect as it overestimates the total by multiplying incorrectly.",
HESI A2,HESI Mathematics,HESI A2 Practice Test Math,What number is 80 125% of?,,48,64,68,78,,,,B,"To find the number that 80 is 125% of, we can set up the equation: x = 80 / 1.25. Solving this equation gives x = 64. Therefore, 80 is 125% of 64. Choice A (48) is incorrect because it is not the correct value that 80 is 125% of. Choice C (68) is incorrect as it is not the value that satisfies the given percentage relationship. Choice D (78) is incorrect as it does not match the calculation result.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,A patient's weight is measured as 75 kilograms. What is their weight in pounds?,,132 pounds,150 pounds,110 pounds,85 pounds,,,,B,"Rationale:
To convert kilograms to pounds, you can use the conversion factor 1 kilogram is approximately equal to 2.20462 pounds. Therefore, to convert 75 kilograms to pounds:
75 kilograms * 2.20462 pounds/kilogram ������� 165.3475 pounds

Rounded to the nearest whole number, the patient's weight of 75 kilograms is approximately 165 pounds. Among the given options, the closest weight in pounds to 165 is 150 pounds (option B).",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,What is 25% of 400?,,800,"10,000",200,100,,,,D,"To find 25% of a number, multiply the number by 0.25 (since 25% is the same as 25/100 or 0.25). In this case, 400 x 0.25 = 100. Therefore, 25% of 400 equals 100. 
Choice A, 800, is incorrect because it is the result of multiplying 400 by 2, not by 0.25. Choice B, 10,000, is also incorrect as it is significantly higher than the correct answer. Choice C, 200, is incorrect as it is the result of dividing 400 by 2, not by 0.25.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"Lulu is 5 years younger than her sister, who is 7 years older than their 15-year-old cousin. How old is Lulu?",,27,22,19,17,,,,C,"Let Lulu's sister's age be x. According to the given information, x = 15 (cousin's age) + 7 = 22. So, Lulu's sister is 22 years old. Since Lulu is 5 years younger than her sister, Lulu's age is 22 - 5 = 17. Therefore, Lulu is 17 years old. Choices A, B, and D are incorrect because they do not correspond to the calculations based on the information provided in the question.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"In a survey, 120 people were asked if they could swim. If 85% said they could, how many people could swim?",,100,102,110,90,,,,B,"To find the number of people who could swim, multiply the total number surveyed by the percentage who said they could swim. In this case, 85% of 120 people is calculated as 0.85 * 120, resulting in 102 people who could swim. Choice A (100) is incorrect because this does not account for the percentage that said they could swim. Choice C (110) is incorrect as it is above the total number surveyed. Choice D (90) is incorrect as it does not consider the percentage who said they could swim.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,Which of these dates is represented by the Roman numeral MMXV?,,2001,2015,2051,2105,,,,B,"The Roman numeral MMXV represents the year 2015. In Roman numerals, M represents 1000, X represents 10, and V represents 5. Therefore, by converting the Roman numeral MMXV into its numerical equivalent (1000 + 10 + 5), it corresponds to the year 2015. Choice A (2001) is incorrect as it would be represented as MM + I, choice C (2051) would be represented as MM + LI, and choice D (2105) would be represented as MMCV in Roman numerals, making them all inaccurate representations of MMXV.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,Solve for x: 3(x - 4) = 18.,,x = 10,x = 12,x = 5,x = 3,,,,A,"To solve the equation, begin by distributing the 3 on the left side: 3x - 12 = 18. Next, add 12 to both sides to isolate x: 3x = 30. Finally, divide by 3 to determine the value of x: x = 10. Therefore, the correct answer is x = 10. Choice B, x = 12, is incorrect as the correct value of x is 10, not 12. Choice C, x = 5, is incorrect as it does not satisfy the equation after substitution. Choice D, x = 3, is incorrect as it does not fulfill the equation when substituted back.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"If a rat can finish a maze in about 3 minutes, how much longer will it take the rat to finish the maze if a small backpack is put on it, reducing its speed by 50%?",,3 minutes,4 minutes,6 minutes,1.5 minutes,,,,C,"Reducing the rat's speed by 50% means it will take twice as long to finish the maze. Since the original time is 3 minutes, doubling that gives 6 minutes. Therefore, the total time will be 6 minutes, making the correct answer C. Choice A (3 minutes) is the original time it takes the rat to finish the maze, not the time with the backpack. Choice B (4 minutes) is not correct as reducing the speed by 50% would double the original time. Choice D (1.5 minutes) is incorrect as halving the time is not the effect of reducing the speed by 50%.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"Roger's car gets an average of 25 miles per gallon. If his gas tank holds 16 gallons, how far can he drive on a full tank?",,41 miles,100 miles,400 miles,320 miles,,,,C,"To calculate the distance Roger can drive on a full tank, multiply the number of gallons in his tank by the average miles per gallon his car gets. 16 gallons x 25 miles per gallon = 400 miles. Therefore, Roger can drive 400 miles on a full tank. Choice A (41 miles) is incorrect as it does not consider the tank's full capacity. Choice B (100 miles) is incorrect as it does not account for the full tank's capacity and the average miles per gallon. Choice D (320 miles) is incorrect as it miscalculates the total distance based on the given information.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"X/4 = 9/x, solve for x.",,x = 6,x = 3,x = 9,x = 2,,,,A,"In this pharmacology question, the task is to solve the equation X/4 = 9/x for x. The correct answer is A) x = 6. To determine this, we first cross multiply to get x^2 = 36. Then, taking the square root of both sides, we find x = 6. 

Option B) x = 3 is incorrect because when we substitute x=3 back into the equation, it does not satisfy the original equation. Option C) x = 9 is incorrect because it also does not satisfy the equation. Option D) x = 2 is incorrect as well for the same reason.

Understanding how to solve equations involving fractions is crucial in pharmacology, as dosage calculations often involve ratios and proportions. Mastering these math skills is essential for accurate medication administration and dosage adjustments based on patient needs. Practice with these types of math problems will help students develop the necessary proficiency to excel in pharmacology and ensure patient safety.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,Which of the following percentages is equal to 0.45?,,4.50%,0.05%,0.45%,45%,,,,D,"To convert 0.45 to a percentage, you multiply by 100: 0.45  100 = 45%. Therefore, the correct answer is D. 45%. 

Choice A, 4.5%, is incorrect. This percentage would be equal to 0.045, not 0.45. Choice B, 0.045%, is also incorrect. It represents 0.045, not 0.45. Choice C, 0.45%, is very close to the correct answer but actually represents 0.0045, not 0.45.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"A hospital receives a shipment of vitamin tablets. The hospital ordered 6,000 tablets, but the shipment included 1/5 more tablets than the hospital ordered. How many tablets were in the shipment?",,"7,200 tablets","5,000 tablets","6,500 tablets","8,000 tablets",,,,A,"To find the total tablets in the shipment, first, calculate 1/5 of 6,000: 6,000 * 1/5 = 1,200. Add this to the original order: 6,000 + 1,200 = 7,200 tablets. Therefore, the shipment included 7,200 tablets. Choice B, 5,000 tablets, is incorrect because it does not account for the additional 1/5 of the original order. Choice C, 6,500 tablets, is incorrect as it only considers the original order and not the extra tablets. Choice D, 8,000 tablets, is incorrect as it overestimates the total by not considering the 1/5 more tablets included in the shipment.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,Write the date 2007 in Roman numerals.,,MMVII,MDVII,MMDII,MMXD,,,,A,"In Roman numerals, the date 2007 is correctly represented as MMVII. The Roman numeral M stands for 1000, and when repeated twice (MM), it represents 2000. The Roman numeral V represents 5, and when followed by II (two ones), it correctly represents 2007. Choice B (MDVII) is incorrect because D represents 500, and 2007 is greater than that. Choice C (MMDII) is incorrect because D represents 500, and there are two of them, making it 1000, not 2000. Choice D (MMXD) is incorrect as XD is an invalid Roman numeral combination.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"A delivery of medical supplies includes 36 boxes. If each box weighs 2.5 pounds, what is the total weight of the delivery?",,90 pounds,75 pounds,120 pounds,100 pounds,,,,A,"To find the total weight of the delivery, you need to multiply the number of boxes (36) by the weight of each box (2.5 pounds). This gives you 36 boxes * 2.5 pounds = 90 pounds, which is the correct answer. Choice B (75 pounds), C (120 pounds), and D (100 pounds) are incorrect because they do not correctly calculate the total weight based on the given information.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,A nurse needs to administer 0.8 milliliters of medication. The only available syringe measures in teaspoons. How many teaspoons should the nurse use?,,0.2 teaspoons,0.4 teaspoons,0.6 teaspoons,0.8 teaspoons,,,,B,"1 milliliter is approximately equal to 0.2 teaspoons. To find out how many teaspoons are in 0.8 milliliters, we can set up a proportion: 0.8 milliliters * 0.2 teaspoons/1 milliliter = 0.16 teaspoons. Since 0.16 teaspoons is not one of the answer choices, we need to convert it to a more practical measurement. The closest option is 0.4 teaspoons, making it the correct answer. Choice A, 0.2 teaspoons, is incorrect because 0.8 milliliters is more than that. Choices C and D, 0.6 teaspoons and 0.8 teaspoons, respectively, are also incorrect based on the conversion factor of 1 milliliter to 0.2 teaspoons.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,"Karen goes to the grocery store with $40. She buys a carton of milk for $1.85, a loaf of bread for $3.20, and a bunch of bananas for $3.05. How much money does she have left?",,$30.95,$31.90,$32.10,$34.95,,,,B,"To determine how much money Karen has left, we first calculate the total cost of the items she bought: $1.85 + $3.20 + $3.05 = $8.10. Subtracting this total cost from the initial amount she had, $40 - $8.10 = $31.90 left. Choice A, $30.95, is incorrect as it does not reflect the correct amount left after subtracting the total cost. Choice C, $32.10, is incorrect as it is the total cost of the items she bought, not the amount left. Choice D, $34.95, is incorrect as it does not consider the expenses incurred and subtracted from the initial amount.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,What is the probability of rolling a 5 on a six-sided die?,,6-Jan,4-Jan,2-Jan,3-Jan,,,,A,"The probability of rolling a specific number on a fair six-sided die is calculated by dividing the number of favorable outcomes (1 in this case, as there is one '5' on the die) by the total number of possible outcomes (6 for a six-sided die), resulting in a probability of 1/6. Therefore, the correct answer is A. Choices B, C, and D are incorrect because they do not accurately represent the probability of rolling a 5 on a six-sided die. Option B (1/4) is incorrect because it represents the probability of rolling a specific number on a four-sided die. Option C (1/2) and Option D (1/3) are incorrect as they do not match the probability calculation for rolling a 5 on a six-sided die.",
HESI A2,HESI Mathematics,HESI A2 Math Practice Exam,Add: 34 + 74 + 37 = ?,,145,155,154,135,,,,A,"To find the sum of the numbers 34 + 74 + 37, add them together: 34 + 74 + 37 = 145. Therefore, the correct answer is A. Choice B (155) is incorrect as it results from adding 34 + 74 + 37 incorrectly. Choice C (154) is incorrect as it is the result of adding the first two numbers correctly, but missing the addition of the third number. Choice D (135) is incorrect as it is the result of a calculation error, possibly adding the numbers in a different order.",
